tm, m, likelihood
2.012930621438537848e+00,1.000019664621154103e+00,1.000000000000000000e+00
1.971458587653717842e+00,1.198171315123842007e+00,1.000000000000000000e+00
1.735854137951189369e+00,1.062058697544978614e+00,1.000000000000000000e+00
1.742156110911145639e+00,1.200629535885124000e+00,1.000000000000000000e+00
2.042532787633044578e+00,1.108146531470941332e+00,1.000000000000000000e+00
1.853777161525021144e+00,1.030669104577179418e+00,1.000000000000000000e+00
2.130222469524983619e+00,1.461701838738489911e+00,1.000000000000000000e+00
1.705422358105539660e+00,1.171701399881402983e+00,1.000000000000000000e+00
1.822777162168706333e+00,1.145862941080788788e+00,1.000000000000000000e+00
1.911456104225120356e+00,1.170739180965489679e+00,1.000000000000000000e+00
1.869227122527851392e+00,1.068140832333465129e+00,1.000000000000000000e+00
1.984090759192979725e+00,1.343421779877460809e+00,1.000000000000000000e+00
1.868828463613356528e+00,1.011063628599641939e+00,1.000000000000000000e+00
2.090451246874936331e+00,1.427549888426760116e+00,1.000000000000000000e+00
1.831905355675884639e+00,1.181459020682631644e+00,1.000000000000000000e+00
2.090451246874936331e+00,1.427549888426760116e+00,1.000000000000000000e+00
1.997457547615827167e+00,1.366559848239769837e+00,1.000000000000000000e+00
2.053098371038419412e+00,1.438155365695668264e+00,1.000000000000000000e+00
2.067112504391705130e+00,1.361901435074081235e+00,1.000000000000000000e+00
1.721342712687440546e+00,1.078698785494847545e+00,1.000000000000000000e+00
1.939983008384594365e+00,1.015056293440410373e+00,1.000000000000000000e+00
2.084625985770773848e+00,1.099860996351367026e+00,1.000000000000000000e+00
1.705422358105539660e+00,1.171701399881402983e+00,1.000000000000000000e+00
1.705422358105539660e+00,1.171701399881402983e+00,1.000000000000000000e+00
2.050767102949294873e+00,1.091242397770284089e+00,1.000000000000000000e+00
2.137873978394408070e+00,1.432529103550388871e+00,1.000000000000000000e+00
1.971458587653717842e+00,1.198171315123842007e+00,1.000000000000000000e+00
1.987382687529629210e+00,1.351201286540452795e+00,1.000000000000000000e+00
2.028399302499498624e+00,1.319637688114519980e+00,1.000000000000000000e+00
2.155917900941084930e+00,1.408149206313886292e+00,1.000000000000000000e+00
1.993332945183836857e+00,1.132356476477327956e+00,1.000000000000000000e+00
1.762851087484118784e+00,1.100152430135308945e+00,1.000000000000000000e+00
2.009580963429489664e+00,1.083713544036666976e+00,1.000000000000000000e+00
1.798095675921193459e+00,1.232916438909188228e+00,1.000000000000000000e+00
2.061628538765706065e+00,1.217051347935169003e+00,1.000000000000000000e+00
1.812480879015763158e+00,1.237295991330974676e+00,1.000000000000000000e+00
1.940204800457739021e+00,1.293883632628300973e+00,1.000000000000000000e+00
1.752373710457996614e+00,1.153316942322731853e+00,1.000000000000000000e+00
1.997865334123177350e+00,1.188366187892809567e+00,1.000000000000000000e+00
1.798095675921193459e+00,1.232916438909188228e+00,1.000000000000000000e+00
2.067112504391705130e+00,1.361901435074081235e+00,1.000000000000000000e+00
1.997457547615827167e+00,1.366559848239769837e+00,1.000000000000000000e+00
2.067112504391705130e+00,1.361901435074081235e+00,1.000000000000000000e+00
1.812480879015763158e+00,1.237295991330974676e+00,1.000000000000000000e+00
2.028399302499498624e+00,1.319637688114519980e+00,1.000000000000000000e+00
1.742156110911145639e+00,1.200629535885124000e+00,1.000000000000000000e+00
2.053098371038419412e+00,1.438155365695668264e+00,1.000000000000000000e+00
1.853777161525021144e+00,1.030669104577179418e+00,1.000000000000000000e+00
2.113539491551883476e+00,1.333945859550068169e+00,1.000000000000000000e+00
1.868828463613356528e+00,1.011063628599641939e+00,1.000000000000000000e+00
1.863157902253997689e+00,1.197835042113987170e+00,1.000000000000000000e+00
2.098634294944119905e+00,1.186317737743786793e+00,1.000000000000000000e+00
1.860337355082075428e+00,1.076996752322976869e+00,1.000000000000000000e+00
2.067112504391705130e+00,1.361901435074081235e+00,1.000000000000000000e+00
1.798095675921193459e+00,1.232916438909188228e+00,1.000000000000000000e+00
1.997865334123177350e+00,1.188366187892809567e+00,1.000000000000000000e+00
1.940204800457739021e+00,1.293883632628300973e+00,1.000000000000000000e+00
1.940204800457739021e+00,1.293883632628300973e+00,1.000000000000000000e+00
1.752373710457996614e+00,1.153316942322731853e+00,1.000000000000000000e+00
2.113539491551883476e+00,1.333945859550068169e+00,1.000000000000000000e+00
1.977100773331990968e+00,1.294921701876432740e+00,1.000000000000000000e+00
1.977100773331990968e+00,1.294921701876432740e+00,1.000000000000000000e+00
1.798095675921193459e+00,1.232916438909188228e+00,1.000000000000000000e+00
1.997865334123177350e+00,1.188366187892809567e+00,1.000000000000000000e+00
1.742156110911145639e+00,1.200629535885124000e+00,1.000000000000000000e+00
2.082734259803428856e+00,1.018643639701932058e+00,1.000000000000000000e+00
2.021043329055133952e+00,1.146872086167525673e+00,1.000000000000000000e+00
1.831905355675884639e+00,1.181459020682631644e+00,1.000000000000000000e+00
1.920724835314346457e+00,1.067604952235203131e+00,1.000000000000000000e+00
2.014429334849944020e+00,1.101388269417401311e+00,1.000000000000000000e+00
1.705422358105539660e+00,1.171701399881402983e+00,1.000000000000000000e+00
1.919496711256668764e+00,1.054166978121752640e+00,1.000000000000000000e+00
2.017838668568451066e+00,1.291130555856520923e+00,1.000000000000000000e+00
1.993762084681613755e+00,1.311808386865970233e+00,1.000000000000000000e+00
1.814026759654837617e+00,1.068976208346106072e+00,1.000000000000000000e+00
1.742156110911145639e+00,1.200629535885124000e+00,1.000000000000000000e+00
1.993332945183836857e+00,1.132356476477327956e+00,1.000000000000000000e+00
1.896643634919029875e+00,1.111125357024641991e+00,1.000000000000000000e+00
1.721342712687440546e+00,1.078698785494847545e+00,1.000000000000000000e+00
1.933060828965410538e+00,1.168134060484093517e+00,1.000000000000000000e+00
2.067112504391705130e+00,1.361901435074081235e+00,1.000000000000000000e+00
1.987382687529629210e+00,1.351201286540452795e+00,1.000000000000000000e+00
1.762851087484118784e+00,1.100152430135308945e+00,1.000000000000000000e+00
1.991984008072224865e+00,1.204725617813986016e+00,1.000000000000000000e+00
1.831905355675884639e+00,1.181459020682631644e+00,1.000000000000000000e+00
1.799813228965072787e+00,1.085579916974243941e+00,1.000000000000000000e+00
1.896643634919029875e+00,1.111125357024641991e+00,1.000000000000000000e+00
1.878915075149157232e+00,1.188806036767793506e+00,1.000000000000000000e+00
2.067112504391705130e+00,1.361901435074081235e+00,1.000000000000000000e+00
2.095590655378882339e+00,1.105140759880505863e+00,1.000000000000000000e+00
2.137873978394408070e+00,1.432529103550388871e+00,1.000000000000000000e+00
1.814026759654837617e+00,1.068976208346106072e+00,1.000000000000000000e+00
2.090451246874936331e+00,1.427549888426760116e+00,1.000000000000000000e+00
2.053098371038419412e+00,1.438155365695668264e+00,1.000000000000000000e+00
1.812480879015763158e+00,1.237295991330974676e+00,1.000000000000000000e+00
1.993332945183836857e+00,1.132356476477327956e+00,1.000000000000000000e+00
1.977100773331990968e+00,1.294921701876432740e+00,1.000000000000000000e+00
2.055551354462298974e+00,1.201606409998858593e+00,1.000000000000000000e+00
2.021043329055133952e+00,1.146872086167525673e+00,1.000000000000000000e+00
2.084625985770773848e+00,1.099860996351367026e+00,1.000000000000000000e+00
